File,Description
Config582,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.3s, m2=0.25s, pDistribution = uniform(4, 6), vDistribution = uniform(18, 20)"
Config591,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.3s, m2=0.25s, pDistribution = uniform(4, 6), vDistribution = uniform(20, 22)"
Config592,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.3s, m2=0.25s, pDistribution = uniform(4, 6), vDistribution = uniform(20, 22)"
Config601,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.3s, m2=0.25s, pDistribution = uniform(8, 10), vDistribution = uniform(14, 16)"
Config602,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.3s, m2=0.25s, pDistribution = uniform(8, 10), vDistribution = uniform(14, 16)"
Config611,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.3s, m2=0.25s, pDistribution = uniform(8, 10), vDistribution = uniform(18, 20)"
Config612,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.3s, m2=0.25s, pDistribution = uniform(8, 10), vDistribution = uniform(18, 20)"
Config621,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.3s, m2=0.25s, pDistribution = uniform(8, 10), vDistribution = uniform(20, 22)"
Config622,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.3s, m2=0.25s, pDistribution = uniform(8, 10), vDistribution = uniform(20, 22)"
Config631,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.3s, m2=0.2s, pDistribution = uniform(1, 3), vDistribution = uniform(14, 16)"
Config632,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.3s, m2=0.2s, pDistribution = uniform(1, 3), vDistribution = uniform(14, 16)"
Config641,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.3s, m2=0.2s, pDistribution = uniform(1, 3), vDistribution = uniform(18, 20)"
Config642,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.3s, m2=0.2s, pDistribution = uniform(1, 3), vDistribution = uniform(18, 20)"
Config651,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.3s, m2=0.2s, pDistribution = uniform(1, 3), vDistribution = uniform(20, 22)"
Config652,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.3s, m2=0.2s, pDistribution = uniform(1, 3), vDistribution = uniform(20, 22)"
Config661,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.3s, m2=0.2s, pDistribution = uniform(4, 6), vDistribution = uniform(14, 16)"
Config662,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.3s, m2=0.2s, pDistribution = uniform(4, 6), vDistribution = uniform(14, 16)"
Config671,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.3s, m2=0.2s, pDistribution = uniform(4, 6), vDistribution = uniform(18, 20)"
Config672,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.3s, m2=0.2s, pDistribution = uniform(4, 6), vDistribution = uniform(18, 20)"
Config681,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.3s, m2=0.2s, pDistribution = uniform(4, 6), vDistribution = uniform(20, 22)"
Config682,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.3s, m2=0.2s, pDistribution = uniform(4, 6), vDistribution = uniform(20, 22)"
Config691,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.3s, m2=0.2s, pDistribution = uniform(8, 10), vDistribution = uniform(14, 16)"
Config692,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.3s, m2=0.2s, pDistribution = uniform(8, 10), vDistribution = uniform(14, 16)"
Config701,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.3s, m2=0.2s, pDistribution = uniform(8, 10), vDistribution = uniform(18, 20)"
Config702,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.3s, m2=0.2s, pDistribution = uniform(8, 10), vDistribution = uniform(18, 20)"
Config711,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.3s, m2=0.2s, pDistribution = uniform(8, 10), vDistribution = uniform(20, 22)"
Config712,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.3s, m2=0.2s, pDistribution = uniform(8, 10), vDistribution = uniform(20, 22)"
Config721,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.25s, m2=0.4s, pDistribution = uniform(1, 3), vDistribution = uniform(14, 16)"
Config722,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.25s, m2=0.4s, pDistribution = uniform(1, 3), vDistribution = uniform(14, 16)"
Config731,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.25s, m2=0.4s, pDistribution = uniform(1, 3), vDistribution = uniform(18, 20)"
Config732,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.25s, m2=0.4s, pDistribution = uniform(1, 3), vDistribution = uniform(18, 20)"
Config741,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.25s, m2=0.4s, pDistribution = uniform(1, 3), vDistribution = uniform(20, 22)"
Config742,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.25s, m2=0.4s, pDistribution = uniform(1, 3), vDistribution = uniform(20, 22)"
Config751,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.25s, m2=0.4s, pDistribution = uniform(4, 6), vDistribution = uniform(14, 16)"
Config752,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.25s, m2=0.4s, pDistribution = uniform(4, 6), vDistribution = uniform(14, 16)"
Config761,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.25s, m2=0.4s, pDistribution = uniform(4, 6), vDistribution = uniform(18, 20)"
Config762,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.25s, m2=0.4s, pDistribution = uniform(4, 6), vDistribution = uniform(18, 20)"
Config771,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.25s, m2=0.4s, pDistribution = uniform(4, 6), vDistribution = uniform(20, 22)"
Config772,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.25s, m2=0.4s, pDistribution = uniform(4, 6), vDistribution = uniform(20, 22)"
Config781,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.25s, m2=0.4s, pDistribution = uniform(8, 10), vDistribution = uniform(14, 16)"
Config782,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.25s, m2=0.4s, pDistribution = uniform(8, 10), vDistribution = uniform(14, 16)"
Config791,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.25s, m2=0.4s, pDistribution = uniform(8, 10), vDistribution = uniform(18, 20)"
Config792,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.25s, m2=0.4s, pDistribution = uniform(8, 10), vDistribution = uniform(18, 20)"
Config801,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.25s, m2=0.4s, pDistribution = uniform(8, 10), vDistribution = uniform(20, 22)"
Config802,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.25s, m2=0.4s, pDistribution = uniform(8, 10), vDistribution = uniform(20, 22)"
Config811,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.25s, m2=0.3s, pDistribution = uniform(1, 3), vDistribution = uniform(14, 16)"
Config812,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.25s, m2=0.3s, pDistribution = uniform(1, 3), vDistribution = uniform(14, 16)"
Config821,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.25s, m2=0.3s, pDistribution = uniform(1, 3), vDistribution = uniform(18, 20)"
Config822,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.25s, m2=0.3s, pDistribution = uniform(1, 3), vDistribution = uniform(18, 20)"
